id,label
1,cat
2,ship
3,ship
4,ship
5,frog
6,frog
7,automobile
8,frog
9,cat
10,automobile
11,airplane
12,truck
13,dog
14,horse
15,truck
16,ship
17,dog
18,horse
19,ship
20,frog
21,horse
22,airplane
23,deer
24,truck
25,dog
26,bird
27,deer
28,airplane
29,truck
30,frog
31,frog
32,dog
33,cat
34,bird
35,truck
36,automobile
37,deer
38,automobile
39,truck
40,dog
41,deer
42,frog
43,dog
44,frog
45,airplane
46,truck
47,cat
48,automobile
49,horse
50,frog
51,truck
52,ship
53,truck
54,cat
55,ship
56,ship
57,horse
58,horse
59,deer
60,cat
61,horse
62,dog
63,frog
64,cat
65,frog
66,bird
67,automobile
68,bird
69,frog
70,horse
71,bird
72,frog
73,ship
74,ship
75,airplane
76,bird
77,truck
78,cat
79,dog
80,ship
81,ship
82,automobile
83,automobile
84,horse
85,bird
86,horse
87,automobile
88,horse
89,ship
90,truck
91,airplane
92,cat
93,ship
94,frog
95,deer
96,frog
97,frog
98,airplane
99,airplane
100,horse
101,deer
102,dog
103,frog
104,cat
105,automobile
106,automobile
107,cat
108,frog
109,ship
110,horse
111,deer
112,airplane
113,bird
114,bird
115,automobile
116,cat
117,airplane
118,deer
119,bird
120,horse
121,ship
122,cat
123,automobile
124,bird
125,ship
126,bird
127,ship
128,cat
129,dog
130,airplane
131,deer
132,automobile
133,ship
134,truck
135,automobile
136,bird
137,truck
138,horse
139,bird
140,automobile
141,frog
142,dog
143,frog
144,cat
145,ship
146,cat
147,frog
148,bird
149,dog
150,bird
151,ship
152,truck
153,frog
154,airplane
155,airplane
156,dog
157,bird
158,truck
159,cat
160,deer
161,bird
162,automobile
163,frog
164,frog
165,airplane
166,bird
167,ship
168,frog
169,dog
170,ship
171,truck
172,truck
173,truck
174,ship
175,truck
176,truck
177,cat
178,horse
179,cat
180,airplane
181,airplane
182,dog
183,bird
184,bird
185,cat
186,ship
187,frog
188,cat
189,cat
190,airplane
191,dog
192,ship
193,airplane
194,automobile
195,horse
196,bird
197,ship
198,ship
199,horse
200,ship
201,dog
202,automobile
203,ship
204,horse
205,automobile
206,cat
207,airplane
208,dog
209,horse
210,truck
211,horse
212,airplane
213,dog
214,truck
215,ship
216,airplane
217,horse
218,truck
219,cat
220,bird
221,horse
222,frog
223,truck
224,deer
225,deer
226,truck
227,bird
228,deer
229,cat
230,frog
231,dog
232,automobile
233,dog
234,ship
235,ship
236,airplane
237,deer
238,horse
239,dog
240,dog
241,automobile
242,automobile
243,ship
244,truck
245,airplane
246,cat
247,automobile
248,truck
249,bird
250,bird
251,dog
252,cat
253,truck
254,automobile
255,deer
256,airplane
257,cat
258,airplane
259,ship
260,truck
261,ship
262,automobile
263,dog
264,cat
265,ship
266,ship
267,frog
268,deer
269,horse
270,airplane
271,bird
272,cat
273,frog
274,horse
275,ship
276,dog
277,automobile
278,bird
279,frog
280,cat
281,truck
282,automobile
283,frog
284,automobile
285,truck
286,truck
287,automobile
288,ship
289,horse
290,truck
291,automobile
292,bird
293,frog
294,automobile
295,cat
296,deer
297,frog
298,airplane
299,airplane
300,frog
301,frog
302,frog
303,cat
304,bird
305,frog
306,automobile
307,ship
308,bird
309,truck
310,frog
311,ship
312,frog
313,airplane
314,airplane
315,bird
316,dog
317,horse
318,horse
319,dog
320,dog
321,cat
322,dog
323,bird
324,cat
325,horse
326,automobile
327,horse
328,dog
329,deer
330,frog
331,automobile
332,truck
333,cat
334,frog
335,frog
336,truck
337,cat
338,ship
339,airplane
340,horse
341,bird
342,frog
343,bird
344,dog
345,ship
346,dog
347,deer
348,frog
349,ship
350,automobile
351,truck
352,automobile
353,ship
354,bird
355,bird
356,deer
357,dog
358,bird
359,ship
360,airplane
361,truck
362,dog
363,ship
364,automobile
365,truck
366,deer
367,automobile
368,frog
369,ship
370,automobile
371,bird
372,horse
373,truck
374,deer
375,bird
376,horse
377,airplane
378,horse
379,airplane
380,frog
381,frog
382,truck
383,airplane
384,truck
385,bird
386,airplane
387,horse
388,bird
389,bird
390,dog
391,automobile
392,bird
393,frog
394,bird
395,automobile
396,frog
397,bird
398,dog
399,truck
400,truck
401,truck
402,automobile
403,horse
404,ship
405,ship
406,frog
407,airplane
408,automobile
409,ship
410,bird
411,horse
412,truck
413,dog
414,frog
415,automobile
416,truck
417,airplane
418,horse
419,cat
420,horse
421,deer
422,dog
423,airplane
424,airplane
425,bird
426,truck
427,frog
428,deer
429,airplane
430,frog
431,bird
432,dog
433,cat
434,deer
435,cat
436,horse
437,bird
438,dog
439,cat
440,truck
441,automobile
442,deer
443,truck
444,truck
445,dog
446,horse
447,dog
448,airplane
449,bird
450,airplane
451,bird
452,truck
453,horse
454,cat
455,truck
456,deer
457,frog
458,dog
459,deer
460,frog
461,dog
462,frog
463,automobile
464,deer
465,cat
466,deer
467,deer
468,cat
469,horse
470,ship
471,cat
472,horse
473,ship
474,airplane
475,frog
476,horse
477,frog
478,airplane
479,dog
480,deer
481,truck
482,frog
483,ship
484,dog
485,dog
486,truck
487,truck
488,truck
489,deer
490,airplane
491,automobile
492,airplane
493,ship
494,automobile
495,automobile
496,ship
497,automobile
498,bird
499,bird
500,airplane
501,deer
502,frog
503,dog
504,deer
505,truck
506,deer
507,horse
508,truck
509,truck
510,deer
511,dog
512,frog
513,frog
514,automobile
515,dog
516,cat
517,ship
518,truck
519,horse
520,ship
521,dog
522,horse
523,airplane
524,horse
525,airplane
526,dog
527,truck
528,airplane
529,deer
530,frog
531,truck
532,truck
533,truck
534,dog
535,frog
536,frog
537,frog
538,bird
539,truck
540,airplane
541,automobile
542,horse
543,frog
544,horse
545,dog
546,truck
547,automobile
548,frog
549,bird
550,dog
551,dog
552,airplane
553,ship
554,dog
555,truck
556,deer
557,frog
558,deer
559,cat
560,bird
561,airplane
562,horse
563,frog
564,bird
565,bird
566,cat
567,truck
568,horse
569,truck
570,bird
571,frog
572,horse
573,automobile
574,cat
575,frog
576,frog
577,ship
578,automobile
579,horse
580,dog
581,deer
582,airplane
583,ship
584,deer
585,airplane
586,truck
587,cat
588,deer
