id,sentiment
12311_10,0.986496345
8348_2,0.029408149
5828_4,0.568797454
7186_2,0.238090403
12128_7,0.882008508
2913_8,0.939530664
4396_1,0.116827472
395_2,0.386425357
10616_1,0.014166854
9074_9,0.502469016
9252_3,0.169670481
9896_9,0.691692952
574_4,0.146302887
11182_8,0.454478604
11656_4,0.14030107
2322_4,0.409018128
8703_1,0.112077712
7483_1,0.434153177
6007_10,0.971867009
12424_4,0.026594025
4672_1,0.016644754
10841_3,0.135925736
8954_7,0.527866408
7392_1,0.035336678
10288_8,0.968304899
5343_4,0.023055765
4950_1,0.012140109
9257_4,0.7691662
8689_3,0.05434877
4480_2,0.06002834
9286_10,0.957951717
12245_10,0.991201253
7529_7,0.886002515
4_4,0.084173896
5299_2,0.139811371
12077_8,0.842717918
10701_2,0.019786952
11579_1,0.032774247
10993_1,0.125724131
8913_1,0.083147642
1350_3,0.137327639
3804_2,0.054613364
5025_3,0.289543147
5170_8,0.703745405
8225_8,0.910632176
6427_7,0.959392874
3165_3,0.400325772
7902_9,0.978171219
8208_3,0.020257607
3577_8,0.952061058
4865_1,0.034540716
9063_3,0.314854362
1106_1,0.231552204
1117_9,0.952338725
1050_4,0.127945072
10755_9,0.904640382
2729_8,0.948547254
10072_10,0.973511244
2904_7,0.945496605
4584_2,0.363933936
189_4,0.138065766
6302_4,0.10828988
8138_9,0.574516916
1262_1,0.219573174
2199_10,0.982805023
6551_7,0.90268796
8082_7,0.744030794
4897_8,0.987538126
7360_1,0.028680351
11012_10,0.95310482
12046_1,0.403665769
2331_2,0.694760353
8961_9,0.980885752
751_7,0.622163895
9884_10,0.539513085
10016_8,0.964199087
8023_10,0.69955153
2628_1,0.013543018
5832_1,0.073448774
7302_1,0.025864021
4501_3,0.205682773
1121_7,0.864075234
8334_3,0.573015295
9789_10,0.648724833
4230_10,0.459285084
824_4,0.079366773
6803_9,0.885625417
3086_7,0.944885189
1135_8,0.966644751
10136_1,0.020262728
11129_3,0.060855447
2072_8,0.403181819
9501_7,0.970390558
319_10,0.927672534
1693_7,0.976305123
10886_1,0.018878937
9406_8,0.914469341
10376_10,0.5431609
9902_1,0.030356421
9938_8,0.528239632
7080_9,0.927285923
11944_8,0.82920376
5249_1,0.009455041
9599_2,0.159908896
9620_1,0.053162743
11244_1,0.036169316
6841_10,0.986237463
10050_4,0.832240172
10512_9,0.935036501
11327_3,0.027362804
10681_8,0.964973006
808_3,0.108809584
546_7,0.98331196
10765_1,0.010519177
7189_9,0.871978662
6005_9,0.947512723
11915_9,0.966265432
5740_10,0.959675366
7097_10,0.544756891
9573_10,0.716739886
5084_4,0.449567849
12332_7,0.308998426
8154_1,0.023503954
5610_1,0.11000904
5323_9,0.938160205
11034_8,0.917181704
3977_2,0.28347427
12380_7,0.476606751
1737_8,0.901425274
6030_9,0.879051997
5918_7,0.963986166
7061_9,0.901222714
266_8,0.96706575
1375_10,0.981994452
8648_3,0.010554473
10146_10,0.906069289
4578_10,0.953738151
4685_8,0.968067165
11843_9,0.894093227
5467_10,0.983850284
10140_10,0.956992938
7721_8,0.978095217
11208_10,0.524043374
1063_10,0.934889882
8260_10,0.211081521
3182_9,0.941737138
2797_8,0.945618376
7613_2,0.471044512
11624_4,0.117627118
4847_10,0.985541255
10684_7,0.791175227
6312_1,0.272818736
4925_3,0.017836513
4125_1,0.013563322
2394_10,0.989848587
12105_10,0.938524427
7812_1,0.018725308
1061_8,0.934362911
9343_3,0.412135241
7696_10,0.98437248
9355_10,0.994034936
782_9,0.988654535
9882_10,0.972954432
10642_10,0.93062165
7410_2,0.014930441
9591_4,0.039588056
11902_3,0.099975127
3495_7,0.357382824
6733_1,0.029968044
4552_1,0.018803776
6722_1,0.115667627
188_10,0.923298819
5099_10,0.954014853
10313_1,0.207951084
6756_9,0.911167532
6622_2,0.024678218
4807_10,0.991452112
7173_3,0.062064167
11321_8,0.7648012
7909_9,0.662575175
8012_7,0.113910963
8615_4,0.101594615
8117_10,0.972612322
1892_10,0.938579016
4617_1,0.370081678
1893_8,0.829425981
5435_1,0.035767046
162_3,0.029722201
6516_10,0.983455646
11588_7,0.962845923
2006_1,0.026448849
1594_4,0.241267995
1472_1,0.024766887
3647_1,0.612281809
174_7,0.943043927
5539_7,0.050905328
3384_10,0.990496392
3811_4,0.201867395
4079_8,0.86767619
1179_7,0.822821473
3069_9,0.984420774
3769_8,0.917514166
9247_10,0.948661877
10434_1,0.018853518
1147_10,0.958460604
5344_7,0.968779386
8073_10,0.94340245
7833_3,0.016561873
8370_1,0.019087093
9007_8,0.10199075
6624_7,0.346468181
6683_3,0.09687078
12275_7,0.50383979
11927_8,0.96197328
1560_10,0.984999629
1325_9,0.436845244
3548_8,0.561577903
607_1,0.010264707
6702_7,0.842859525
5702_3,0.045688935
11345_8,0.9823805
3428_4,0.126509979
7209_9,0.982479865
8425_8,0.89082418
3087_1,0.402484265
1119_8,0.567487357
5715_3,0.325684
8645_1,0.017787073
2149_3,0.038297453
10403_10,0.893902962
5628_1,0.203161325
5570_10,0.989109936
1613_3,0.176521323
1454_4,0.786078358
5094_3,0.125026038
7982_1,0.03455945
6894_2,0.861303049
6554_1,0.146585813
4721_3,0.201021418
6904_4,0.072857233
893_8,0.984885804
4605_4,0.48724897
11516_7,0.508596708
11718_7,0.989843455
5956_1,0.013983346
7455_9,0.920118138
6396_4,0.843306361
1223_8,0.961481194
8556_1,0.066825409
6108_8,0.900369874
11690_1,0.015802912
3778_9,0.891673412
3627_4,0.879248453
8256_4,0.062199065
533_1,0.009870959
5235_4,0.036672466
621_2,0.058127703
5365_1,0.189617145
8180_3,0.122991632
7396_7,0.350337444
9776_10,0.952214281
8175_10,0.956413424
3128_1,0.034815115
4606_1,0.066281949
6158_2,0.027047017
3281_10,0.928697348
4723_4,0.140177674
11994_3,0.048055534
7701_1,0.008341483
103_3,0.086382672
8908_10,0.937338061
8876_1,0.018163065
7519_9,0.9707366
12456_8,0.902802835
9514_8,0.924071479
8680_8,0.356749487
12402_10,0.922865808
362_2,0.338042945
9825_7,0.877312342
2913_3,0.465346285
7164_8,0.948970983
11177_7,0.861757141
5707_10,0.985073674
8103_10,0.96089846
6289_1,0.037033059
11754_1,0.140154392
11640_10,0.796758812
9933_7,0.895485708
185_10,0.962871835
242_10,0.964123396
9369_8,0.961386618
7453_10,0.877936491
7514_7,0.797631689
10860_2,0.060230214
8663_8,0.310584557
9108_1,0.040979945
7941_1,0.031038453
10116_1,0.011159453
9841_4,0.100791253
4512_9,0.972670837
4853_2,0.260918862
2664_4,0.287307243
9966_10,0.966684343
5167_2,0.093052034
3894_2,0.076374793
3929_8,0.95017094
7165_10,0.879945209
5451_8,0.854523691
2947_4,0.476044563
4611_10,0.96248257
5807_1,0.287927596
9464_8,0.94653681
3124_10,0.951673769
2705_4,0.914692924
12187_8,0.9188118
12319_10,0.967642385
9874_3,0.464248945
3406_4,0.584232975
2327_10,0.986550174
605_10,0.967189581
8080_4,0.083470951
3074_10,0.954275161
2499_3,0.052724215
1013_1,0.44313565
11535_1,0.060144358
4118_7,0.488627338
10492_8,0.974425503
2129_4,0.080675015
9814_10,0.510497794
10671_9,0.741646957
5980_10,0.954665201
2755_2,0.523051398
5461_2,0.271531248
11979_1,0.283981789
8810_1,0.014536879
852_7,0.97127508
10961_4,0.048538198
7436_4,0.155006993
11281_3,0.559192243
4208_3,0.105684727
8213_10,0.428606832
9851_2,0.235431047
4713_7,0.569234219
9528_1,0.966931588
3595_10,0.983985358
5785_3,0.372525994
10370_3,0.068411503
1980_3,0.625019515
8800_4,0.133739747
4437_3,0.115150297
28_3,0.059538336
12171_1,0.324845538
9359_3,0.278479315
3831_9,0.980550031
10962_7,0.974923671
1500_9,0.854869678
11470_10,0.92865183
11843_3,0.538671984
11200_4,0.854790574
1067_1,0.038750133
3333_1,0.052292236
4487_4,0.882956505
6428_1,0.024127549
575_7,0.194661519
10904_9,0.924881111
